"transactionDate","DPOZ","country","contractType","wayOfTrading","buySellIndicator","marketSegment","energyCommodity","deliveryStart","relativePeriod","periodLength","MTU/Load","noOfTransactions","noOfMPs"
"Y2025M01D02","21Y000000000026E","BG","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D02","D+0","D","GD","23","8"
"Y2025M02D19","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D19","","All","GD","119","23"
"Y2025M03D05","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D05","D+0","[Other<D]","GD","76","20"
"Y2025M01D31","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D31","D+0","[Other<D]","GD","92","18"
"Y2025M03D25","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D28","","All","GD","21","6"
"Y2025M01D18","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D18","D+0","D","GD","14","6"
"Y2025M03D14","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D14","D+0","[Other<D]","GD","155","23"
"Y2025M03D10","21Y000000000026E","BG","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D11","D+1","D","GD","83","13"
"Y2025M02D14","21Y000000000087V","PL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D15","","[W<Other<M]","GD","58","8"
"Y2025M02D07","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D07","D+0","[Other<D]","GD","8","6"
"Y2025M01D31","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D31","D+0","[Other<D]","GD","63","16"
"Y2025M03D06","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D07","D+1","[Other<D]","GD","226","29"
"Y2025M01D28","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D28","D+0","D","GD","330","65"
"Y2025M03D14","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D14","D+0","[Other<D]","GD","208","24"
"Y2025M01D09","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D10","D+1","D","GD","3342","81"
"Y2025M01D09","21Y000000000087V","PL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D10","D+1","D","GD","193","6"
"Y2025M03D04","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D04","D+0","[Other<D]","GD","35","10"
"Y2025M01D12","21Y000000000079U","LT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D12","D+0","D","GD","29","9"
"Y2025M02D11","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D11","D+0","D","GD","90","6"
"Y2025M02D20","21Y0000000001359","EE-LV","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D21","D+1","D","GD","11","7"
"Y2025M03D23","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D24","D+1","[Other<D]","GD","221","25"
"Y2025M03D02","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D02","D+0","D","GD","76","15"
"Y2025M01D23","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D25","","[Other<W]","GD","12","7"
"Y2025M03D26","21Y---A001A010-A","IT","AU","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D27","D+1","D","GD","14","10"
"Y2025M01D13","21Y000000000087V","PL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D14","D+1","D","GD","153","6"
"Y2025M02D08","21Y000000000026E","BG","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D09","D+1","D","GD","65","12"
"Y2025M01D16","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D16","D+0","D","GD","119","24"
"Y2025M01D31","EU","EU","All","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D01","","All","GD","110","27"
"Y2025M02D10","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D11","D+1","D","GD","425","90"
"Y2025M03D15","21Y0000000001278","FR","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D17","D+2","D","GD","32","9"
"Y2025M03D21","EU","EU","All","BROKERED and CLEARED on EXCHANGE","B","DayAhead and WithinDay","NG","Y2025M03D22","","All","GD","<6","<6"
"Y2025M01D06","39YSINBP000000NE","HU","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D06","D+0","D","GD","13","6"
"Y2025M02D11","21Y---A001A010-A","IT","AU","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D11","D+0","D","GD","11","10"
"Y2025M03D11","21Y---A001A010-A","IT","AU","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D12","D+1","D","GD","18","13"
"Y2025M03D26","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D26","D+0","[Other<D]","GD","107","19"
"Y2025M03D18","21Y000000000026E","BG","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D19","D+1","D","GD","100","27"
"Y2025M01D19","21Y000000000009E","AT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D19","D+0","[Other<D]","GD","31","9"
"Y2025M02D15","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D16","D+1","D","GD","193","22"
"Y2025M02D27","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D27","D+0","D","GD","101","8"
"Y2025M03D21","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D22","","[Other<W]","GD","130","13"
"Y2025M01D24","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D24","D+0","[Other<D]","GD","14","9"
"Y2025M03D24","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D24","D+0","D","GD","150","33"
"Y2025M03D22","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D23","D+1","D","GD","103","15"
"Y2025M01D08","21Y000000000078W","FI","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D08","D+0","D","GD","19","6"
"Y2025M02D07","21Y000000000087V","PL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D07","D+0","[Other<D]","GD","51","7"
"Y2025M01D03","21Y000000000079U","LT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D04","D+1","D","GD","34","12"
"Y2025M01D21","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D22","D+1","D","GD","86","16"
"Y2025M01D10","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D11","D+1","D","GD","145","17"
"Y2025M03D17","21Y---A002A005-T","ES","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D20","D+3","D","GD","33","9"
"Y2025M01D27","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D27","D+0","D","GD","33","11"
"Y2025M02D01","37Y005053MH0000R","DE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D03","D+2","D","GD","33","13"
"Y2025M02D26","21Y000000000087V","PL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D26","D+0","[Other<D]","GD","47","11"
"Y2025M03D30","EU","EU","All","BROKERED and CLEARED on EXCHANGE","B","DayAhead and WithinDay","NG","Y2025M03D31","","All","GD","<6","<6"
"Y2025M01D02","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D03","D+1","[Other<D]","GD","77","14"
"Y2025M02D14","21Z000000000248J","BE","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D15","D+1","[Other<D]","GD","51","11"
"Y2025M02D26","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D26","D+0","D","GD","82","23"
"Y2025M02D20","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D20","D+0","D","GD","102","8"
"Y2025M02D13","21YNL----TTF---1","NL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M02D14","D+1","[Other<D]","GD","74","15"
"Y2025M03D16","21Y---A001A010-A","IT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D17","D+1","D","GD","35","10"
"Y2025M03D24","21Y000000000087V","PL","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M03D24","D+0","[Other<D]","GD","112","12"
"Y2025M02D17","60Y000000000001I","RO","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M02D17","D+0","D","GD","78","8"
"Y2025M03D17","21Y---A001A001-B","CZ","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M03D17","D+0","D","GD","96","11"
"Y2025M01D29","21Z000000000520T","LT","CO","TRADING on EXCHANGE (own orderbook)","B","DayAhead and WithinDay","NG","Y2025M01D29","D+0","D","GD","33","16"
"Y2025M01D15","21Y000000000026E","BG","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D15","D+0","D","GD","55","11"
"Y2025M01D05","21Y000000000003Q","DK","CO","TRADING on EXCHANGE (own orderbook)","S","DayAhead and WithinDay","NG","Y2025M01D06","D+1","[Other<D]","GD","18","8"
